,party,year,matched_keywords_all,n_hits_body_total,body,relevant_len_words,total_len_words
29,BIJ1,2023,"['ai', 'artificiële intelligentie']",10,...Nederlands staatsburgerschap. Er komt (postuum) eerherstel voor dienstweigeraars uit het verleden. 7 We stoppen per direct met het ontwikkelen van AI-systemen voor militaire doeleinden. Computers mogen nooit beslissen over leven en dood. De ontwikkeling en het gebruik van AI zijn nog altijd doordrongen van discriminerende algoritmes en data. 8 Nederland zet zich actief in voor een wereld vrij van beschikbaar voor wie daar behoefte aan heeft. 6 Het ontwikkelen onderhouden en innoveren van technologische ontwikkelingen zoals het gebruik van AI berust op de uitbuiting van grondstoffen en mensen uit het Globale Zuiden terwijl het slechts ten goede komt aan het dat belangenor ganisaties goede controle op Big Tech en de overheid kunnen uitoefenen in het bijzonder waar artificiële intelli gentie (AI) wordt ingezet. 7 Er komt een integrale aanpak om techbedrijven die misbruik maken van geavanceerde AI en algoritmes aan te pakken: we treden onder andere op tegen het promoten van mis- en desinformatie en racisme door bedrijven en het rangschikken en evalueren van medewerkers en verde len van werk met algoritmes. De data en informatie waar AI-systemen op zijn gebouwd mogen niet discrimine rend zijn of zonder toestemming van en vergoeding voor de oorspronkelijke bron worden ingezet. discriminerende algoritmes. Om discriminatie te voorkomen en mensenrechten te bevorderen en beschermem komt er een instantie die mensenrechtentoetsen uitvoert op AI-software en de software reguleert en keurt voordat deze op de markt komt. 3 We benoemen een minister voor digitale zaken...,242,28242
32,BBB,2025,['ai'],6,...zo snel mogelijk uitgevoerd binnen de overheid. Om de overheid voor te bereiden op toekomstige digitale vraagstukken. Verantwoorde inzet van AI. De overheid zet AI op een verantwoorde en doelmatige manier in met nadruk op transparantie menselijk toezicht en het beperken van risico’s. Digitale haalbaarheid. koppen. Er komen geen nationale koppen op Europees beleid om zo het speelveld binnen de EU gelijk te houden. Nederlandse AI-netwerk. Nederland investeert via Defensie structureel in de ontwikkeling van het Nederlandse AI-netwerk waaronder de AI-fabriek in Groningen en lokale AI-hubs. Hoofdstuk 14 Onderwijs en Wetenschap 103 BBB VERKIEZINGSPROGRAMMA 2025 - 2029 Goed onderwijs dichtbij en voor iedereen Voor BBB staat...,110,40934
33,BVNL,2024,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",7,...7. Defensie................................................................................................................................................ 8 8. Immigratie en integratie...................................................................................................................... 8 9. Een kleine dienstbare overheid......................................................................................................... 10 10. ICT Digitalisering Social Media en Artificial Intelligence................................................................ 10 11. Gezondheidzorg............................................................................................................................... 12 Bijlage 1: Kernwaarden van Belang Van Nederland (BVNL).................................................................. 13 Conceptprogramma BVNL – Verkiezingen Europees Parlement aantal EU-ambtenaren moet drastisch worden verminderd. ➢ De maandelijkse verhuizing naar Straatsburg wordt gestopt. 10. ICT Digitalisering Social Media en Artificial Intelligence De overheid heeft een slechte reputatie als het gaat om interne ICT-projecten. De ICT bij de Belastingdienst is een haar digitale dienstverlening op orde heeft burgers helpt om mee te doen met nieuwe digitale ontwikkelingen onderzoek en innovatie in kunstmatige intelligentie stimuleert en de privacy van burgers waarborgt. BVNL streeft naar een digitale toekomst waarin rechten en vrijheden worden gerespecteerd Er komt geen “Ministerie van Waarheid” alternatieve media en onwelgevallige meningen zijn geen ‘desinformatie’ en mogen niet worden verwijderd. ➢ Artificial Intelligence (AI) is een welkome innovatie mits er zorgvuldig mee wordt omgegaan. Het is een taak voor de overheid om na te gaan hoe AI bijvoorbeeld kan worden geïncorporeerd in het onderwijs. Privacy is een groot goed en AI mag daarvoor geen gevaar vormen. ➢ De overheid zal geen medewerking verlenen aan het invoeren van programmeerbaar geld. ➢ Er...,200,4854
34,BVNL,2025,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",9,...Nederlanderschap dan wel ander verblijfstitel worden ingenomen. Dit geldt voor zowel de organisator als eenieder die hieraan heeft meegewerkt. • AI zal worden ingezet om zorgfraude op te sporen. • Leerlingen en stagiaires worden beter behandeld en meer gewaardeerd en hun toetsingscriteria als voor uitbesteden. Alleen inbesteden als het aantoonbaar beter of goedkoper is. 54 55 ICT DIGITALISERING SOCIAL MEDIA EN ARTIFICIAL INTELLIGENCE De overheid heeft een slechte reputatie als het gaat om interne ICT-projecten. De ICT bij de Belastingdienst is een encryptie te verzwakken of te verbieden en in plaats daarvan investeren in veilige technologieën die privacy en online veiligheid bevorderen. Kunstmatige intelligentie BVNL zet zich in voor de stimulering van onderzoek en innovatie op het gebied van kunstmatige intelligentie en andere digitale technologieën zoals quantumtechnologie. We willen een innovatievriendelijk klimaat creëren waarin bedrijven startups en academici kunnen gedijen. haar digitale dienstverlening op orde heeft burgers helpt om mee te doen met nieuwe digitale ontwikkelingen onderzoek en innovatie in kunstmatige intelligentie stimuleert en de privacy van burgers waarborgt. BVNL streeft naar een digitale toekomst waarin rechten en vrijheden worden gerespecteerd behoren kunnen functioneren. • Er komt geen “Ministerie van Waarheid” en alternatieve media en onwelgevallige meningen zijn geen ‘desinformatie’. • Artificial Intelligence (AI) is een welkome innovatie mits er zorgvuldig mee wordt omgegaan. Het is een taak voor de overheid om na te gaan hoe AI 58 bijvoorbeeld kan worden geïncorporeerd in het onderwijs. Privacy is een groot goed en AI mag geen gevaar worden voor onze privacy. • De overheid zal geen medewerking verlenen aan het invoeren van programmeerbaar geld....,258,12515
35,BVNL,2023,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",11,...integratie 47 Immigratie 47 Integratie 48 Corona 50 Een kleine dienstbare overheid 52 ICT Digitalisering 54 Social Media 54 en Artificial Intelligence 54 Digitale inclusie 54 Grondrechten 55 Pagina van 2 69 Vrijheid van meningsuiting 55 Privacy 55 Encryptie 55 Kunstmatige intelligentie 56 Cybersecurity 56 Jongeren 59 Ethische dilemma’s 62 Kernwaarden van Belang Van Nederland (BVNL) 63 Vrijheid 64 Soevereiniteit 64 aardrijkskunde (topografie) geschiedenis en biologie moeten andere belangrijke vaardigheden op het programma komen zoals kritisch denken digitale vaardigheden gebruik van Artificial Intelligence basis financieel inzicht (leren omgaan met geld) kookles conflictbeheersing en onderhandelingsvaardigheden. • Het Passend Onderwijs en de decentralisatie naar als het aantoonbaar beter of goedkoper is. Pagina van 52 69 Pagina van 53 69 ICT Digitalisering Social Media en Artificial Intelligence De overheid heeft een slechte reputatie als het gaat om interne ICT- projecten. De ICT bij de Belastingdienst is te verbieden en in plaats daarvan investeren in veilige technologieën die privacy en online veiligheid bevorderen. Pagina van 55 69 Kunstmatige intelligentie BVNL zet zich in voor de stimulering van onderzoek en innovatie op het gebied van kunstmatige intelligentie en andere digitale technologieën zoals quantumtechnologie. We willen een innovatievriendelijk klimaat creëren waarin bedrijven startups en academici kunnen gedijen. haar digitale dienstverlening op orde heeft burgers helpt om mee te doen met nieuwe digitale ontwikkelingen onderzoek en innovatie in kunstmatige intelligentie stimuleert en de privacy van burgers waarborgt. BVNL streeft naar een digitale toekomst waarin rechten en vrijheden worden gerespecteerd...,242,10805
36,CDA,2021,"['ai', 'artificiële intelligentie', 'kunstmatige intelligentie']",5,...CONCEPT-VERKIEZINGSPROGRAMMA 2021-2025 48 EEN EERLIJKE ECONOMIE Nieuwe kansen in een digitale toekomst en innovatie De toekomst is digitaal. Slimme apps kunstmatige intelligentie robots internet of things 5G en straks 6G maken ons leven makkelijker sneller en heel vaak ook leuker. Meer willen wij een tweede politieacademie die zich naast de reguliere opleiding gaat richten op nieuwe opsporingsmethoden als financiële data-analyse en artificiële intelligentie. Om extra politiecapaciteit vrij te maken wordt de arrestantenzorg van de politie overgeheveld naar het gevangeniswezen. • De sociale Vera Blokzijl (styling) Secretariaat Eppy Boschma Karin Hoentjen Hege Knaven Joost Breas 5G EN 6G AANLANDPLICHT AGRIFOOD AIRBNB ALGORITME AOW ARTIFICIËLE INTELLIGENTIE (AI) ASSOCIATE DEGREEPROGRAMMA (AD) BACHELORFASE BBP BOA BRIEVENBUSMAATSCHAPPIJEN CASEMANAGER CBR CHECKS EN BALANCES CHIEF NURSING OFFICER CIRCULAIRE ECONOMIE CLOUD COMMISSIE-BORSTLAP CONSTITUTIONELE consumptie door mensen Online marktplaats voor de verhuur en het boeken van privéwoning/kamer Wiskundige formule Algemene Ouderdoms Wet Ook wel kunstmatige intelligentie genoemd waarbij computers of systemen van zichzelf leren en steeds slimmer worden Een tweejarige studie in het hoger beroepsonderwijs....,170,26787
37,CDA,2025,"['ai', 'gpt', 'kunstmatige intelligentie']",14,...te stappen naar ander werk. Medische opleidingen hebben aandacht voor de werking kansen en risico’s van technologie en met name AI. •• Het moet makkelijker zijn voor verpleegkundigen om als vrijwilliger hun werk te kunnen blijven doen. Bij pensionering moet de Daarvoor investeren we in wetenschappelijk en toegepast onderzoek en valorisatie dat zich richt op de sleuteltechnologieën van de toekomst zoals AI quantum-computing groene chemie batterijtechnologie en medische technologie. 5.4 Een leven lang ontwikkelen van werk naar werk We richten samen met deels afhankelijk van mensen van buiten de EU. We pakken misbruik van de kenniswerkersregeling streng aan. 6.6 Nieuwe technologieën en kunstmatige intelligentie Kunstmatige intelligentie (AI) ontwikkelt zich snel tot een drijvende kracht achter economische macht wetenschappelijke vooruitgang en geopolitieke invloed. Europa bevindt zich op een knooppunt in de wereldwijde AI-race maar loopt achter op de VS en China. We blijven aandacht hebben voor digitale ethiek want digitale technologie is niet versterking van de Europese chipsector. •• Binnen het groeifonds komt ruimte voor investeringen in sleuteltechnologieën met een sterke focus op AI. Er komt daarnaast een commissaris AI voor centrale regie. Zo stimuleren we steviger samenwerking en data-uitwisseling tussen bedrijven onderwijsinstellingen en overheden. Bouwen op vertrouwen. Onze keuzes 6.5.8 6.5.9 6.5.10 6.5.11 6.5.12 6.6.1 6.6.2 terug naar inhoudsopgave 47 •• Wij willen een betere verankering van digitale ethiek: AI-ethiek het begrijpen van algoritmes mediawijsheid en cyberveiligheid in funderend- en vervolgonderwijs en bibliotheken. •• We stimuleren de ontwikkeling van chipproductie en -ontwerp met gelijkgestemde Europese landen. •• We stimuleren doorontwikkeling van het Nederlands ‘large language-model’ GPT-NL als basis voor AI. Ook stimuleren we de bouw van Europees-autonome datacentra. En steunen de komst van een AI-fabriek in Noord-Nederland en essentiële softwaretoepassingen. •• We beschermen essentiële bedrijven tegen beperkingen die deze krijgen opgelegd door landen buiten Europa...,315,29490
39,CDA,2024,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",11,...rol spelen in het reguleren van nieuwe technologieën en het gebruik van per- soonlijke data. Voor het verantwoord gebruik van kunstmatige intelligentie (artificial intelligence AI) worden Europese standaarden ontwikkeld. De dominante positie van Big Techbedrijven wordt verder beteugeld en kleine organisaties die willen innove- ren gewaarborgd. We pakken online verleidingstechnieken aan zeker wanneer deze gericht zijn op kinderen. Waarom willen we dat? De opkomst van AI gaat razendsnel. De huidige wetgeving biedt beperkte bescher- ming en is verre van toekomstbestendig. Naast de vele voordelen kan AI onze vei- ligheid rechten en manier van leven bedreigen. Zo is het vaak onmogelijk om na te gaan waarom een AI-systeem een bepaalde beslissing heeft genomen. Het risico dat mensen hierdoor in de knel komen te zitten is onverantwoord. Onlinediensten en in cyberspace moeten verder worden ontwikkeld en gehandhaafd. 2.5.2. De EU zet zich in voor transparantie verantwoordelijkheid en eerlijkheid in AI-systemen en representatieve en inclusieve trainingsdata (gegevens die de syste- men gebruiken om patronen te herkennen en reacties te produceren). 2.5.3. De EU moet ook de kansen van AI op waarde schatten en investeren in publiek-private samenwerking voor een soepele implementatie van AI-oplossin- gen en efficiëntere publieke diensten. Het CDA wil kleine bedrijven startups en on- derzoeksinstanties hierbij ondersteunen onder meer zodat AI de positie van het mkb niet verslechtert ten opzichte van grote bedrijven. 2.5.4. We benutten de kansen van AI in een wereld waar de aard van criminele acti- viteiten zich voortdurend ontwikkelen. Wetshandhaving moet gebruik kunnen ma- ken van...,259,14277
40,CDA,2023,"['ai', 'artificial intelligence', 'artificiële intelligentie']",3,...Dat willen wij omkeren. Daarom wordt de inkoop van eigen aandelen fiscaal belast als een dividenduitkering. 4.6. Technologische ontwikkelingen als Artificiële Intelligentie (AI) bieden toekomst. We moeten ons wel bewust zijn van de risico’s. Techniek moet niet leidend zijn maar staat ten dienste gefinancierde concurrentie van buiten de EU. 11.3. Op Europees niveau investeren we in de economie van de toekomst. In bijvoorbeeld Artificial Intelligence fotonica quantumtechnologie en biotech. Nederland neemt actief deel in Europese initiatieven en samenwerkingsverbanden die de economie van de toekomst...,87,18202
41,CDA,2023,"['ai', 'artificial intelligence', 'artificiële intelligentie']",3,...Dat willen wij omkeren. Daarom wordt de inkoop van eigen aandelen fiscaal belast als een dividenduitkering. 4.6. Technologische ontwikkelingen als Artificiële Intelligentie (AI) bieden toekomst. We moeten ons wel bewust zijn van de risico’s. Techniek moet niet leidend zijn maar Recht doen. Een Wij streven naar digitale Europese soevereiniteit. 11.3. Op Europees niveau investeren we in de economie van de toekomst. In bijvoorbeeld Artificial Intelligence fotonica quantumtechnologie en biotech. Nederland neemt actief deel in Europese initiatieven en samenwerkingsverbanden die de economie van de toekomst...,87,25099
42,CDA,2024,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",11,...leidende rol spelen in het reguleren van nieuwe technologieën en het gebruik van persoonlijke data. Voor het verantwoord gebruik van kunstmatige intelligentie (artificial intelligence AI) worden Europese standaarden ontwikkeld. De dominante positie van Big Techbedrijven wordt verder beteugeld en kleine organisaties die willen innoveren worden gewaarborgd. We pakken online verleidingstechnieken aan zeker wanneer deze gericht zijn op kinderen. Waarom willen we dat? De opkomst van AI gaat razendsnel. De huidige wetgeving biedt beperkte bescherming en is verre van toekomstbestendig. Naast de vele voordelen kan AI onze veiligheid rechten en manier van leven bedreigen. Zo is het vaak onmogelijk om na te gaan waarom een AI-systeem een bepaalde beslissing heeft genomen. Het risico dat mensen hierdoor in de knel komen te zitten is onverantwoord. Onlinediensten en en gehandhaafd. Ethiek is daarbij een betrouwbaar kompas. 2.5.2. De EU zet zich in voor transparantie verantwoordelijkheid en eerlijkheid in AI- systemen en representatieve en inclusieve trainingsdata (gegevens die de systemen gebruiken om patronen te herkennen en reacties te produceren). 2.5.3. De EU moet ook de kansen van AI en quantumtechnologie op waarde schatten en investeren in verantwoorde innovatie en publiek-private samenwerking voor een soepele implementatie van AI-oplossingen en efficiëntere publieke diensten. Het CDA wil kleine bedrijven startups en onderzoeksinstanties hierbij ondersteunen onder meer zodat AI de positie van het mkb niet verslechtert ten opzichte van grote bedrijven. CDA verkiezingsprogramma Een fatsoenlijk Europa  terug naar inhoudsopgave 36 2.5.4. We benutten de kansen van AI in een wereld waar de aard van criminele activiteiten zich voortdurend ontwikkelt. Wetshandhaving moet gebruik kunnen maken van gezichtsherkenningstechnologie in...,268,15378
43,CDA,2025,"['ai', 'artificiële intelligentie', 'kunstmatige intelligentie']",5,...eerlijke economie Nu doorpakken CDA-VERKIEZINGSPROGRAMMA 2021-2025 Nieuwe kansen in een digitale toekomst en innovatie De toekomst is digitaal. Slimme apps kunstmatige intelligentie robots internet of things 5G en straks 6G maken ons leven makkelijker sneller en heel vaak ook leuker. Meer wij een tweede politieacademie die zich naast de reguliere opleiding gaat richten op nieuwe opsporingsmethoden als financiële data-analyse en via artificiële intelligentie. Om extra politiecapaciteit vrij te maken wordt de arrestantenzorg van de politie overgeheveld naar het gevangeniswezen. • De sociale Vera Blokzijl (styling) Secretariaat Eppy Boschma Karin Hoentjen Hege Knaven Joost Breas 5G EN 6G AANLANDPLICHT AGRIFOOD AIRBNB ALGORITME AOW ARTIFICIËLE INTELLIGENTIE (AI) ASSOCIATE DEGREEPROGRAMMA (AD) BACHELORFASE BBP BOA BRIEVENBUSMAATSCHAPPIJEN CASEMANAGER CBR CHECKS EN BALANCES CHIEF NURSING OFFICER CIRCULAIRE ECONOMIE CLOUD COMMISSIE-BORSTLAP CONSTITUTIONELE consumptie door mensen Online marktplaats voor de verhuur en het boeken van privéwoning/kamer Wiskundige formule Algemene Ouderdoms Wet Ook wel kunstmatige intelligentie genoemd waarbij computers of systemen van zichzelf leren en steeds slimmer worden Een tweejarige studie in het hoger beroepsonderwijs....,170,31930
